id,level,path,prefLabel
http://purl.obolibrary.org/obo/DOID_4,0,disease,disease
http://purl.obolibrary.org/obo/DOID_0060501,1,disease/metal allergy,metal allergy
http://purl.obolibrary.org/obo/DOID_1417,1,disease/choroid disease,choroid disease
http://purl.obolibrary.org/obo/DOID_2256,1,disease/osteochondrodysplasia,osteochondrodysplasia
http://purl.obolibrary.org/obo/DOID_3082,1,disease/interstitial lung disease,interstitial lung disease
http://purl.obolibrary.org/obo/DOID_0050155,1,disease/sensory system disease,sensory system disease
http://purl.obolibrary.org/obo/DOID_3128,1,disease/anus disease,anus disease
http://purl.obolibrary.org/obo/DOID_12897,1,disease/submandibular gland disease,submandibular gland disease
http://purl.obolibrary.org/obo/DOID_37,1,disease/skin disease,skin disease
http://purl.obolibrary.org/obo/DOID_379,1,disease/external ear disease,external ear disease
http://purl.obolibrary.org/obo/DOID_732,1,disease/urethral disease,urethral disease
http://purl.obolibrary.org/obo/DOID_9993,1,disease/hypoglycemia,hypoglycemia
http://purl.obolibrary.org/obo/DOID_319,1,disease/spinal cord disease,spinal cord disease
http://purl.obolibrary.org/obo/DOID_2825,1,disease/nose disease,nose disease
http://purl.obolibrary.org/obo/DOID_562,1,disease/third cranial nerve disease,third cranial nerve disease
http://purl.obolibrary.org/obo/DOID_561,1,disease/trigeminal nerve disease,trigeminal nerve disease
http://purl.obolibrary.org/obo/DOID_11201,1,disease/parathyroid gland disease,parathyroid gland disease
http://purl.obolibrary.org/obo/DOID_7,1,disease/disease of anatomical entity,disease of anatomical entity
http://purl.obolibrary.org/obo/DOID_863,1,disease/nervous system disease,nervous system disease
http://purl.obolibrary.org/obo/DOID_866,1,disease/vein disease,vein disease
http://purl.obolibrary.org/obo/DOID_1564,1,disease/fungal infectious disease,fungal infectious disease
http://purl.obolibrary.org/obo/DOID_1100,1,disease/ovarian disease,ovarian disease
http://purl.obolibrary.org/obo/DOID_5679,1,disease/retinal disease,retinal disease
http://purl.obolibrary.org/obo/DOID_9098,1,disease/sebaceous gland disease,sebaceous gland disease
http://purl.obolibrary.org/obo/DOID_0060262,1,disease/gallbladder disease,gallbladder disease
http://purl.obolibrary.org/obo/DOID_18,1,disease/urinary system disease,urinary system disease
http://purl.obolibrary.org/obo/DOID_0050177,1,disease/monogenic disease,monogenic disease
http://purl.obolibrary.org/obo/DOID_630,1,disease/genetic disease,genetic disease
http://purl.obolibrary.org/obo/DOID_1962,1,disease/fallopian tube disease,fallopian tube disease
http://purl.obolibrary.org/obo/DOID_1205,1,disease/allergic disease,allergic disease
http://purl.obolibrary.org/obo/DOID_2277,1,disease/gonadal disease,gonadal disease
http://purl.obolibrary.org/obo/DOID_0060118,1,disease/thoracic disease,thoracic disease
http://purl.obolibrary.org/obo/DOID_53,1,disease/pituitary gland disease,pituitary gland disease
http://purl.obolibrary.org/obo/DOID_530,1,disease/eyelid disease,eyelid disease
http://purl.obolibrary.org/obo/DOID_533,1,disease/thymus gland disease,thymus gland disease
http://purl.obolibrary.org/obo/DOID_0080827,1,disease/human cytomegalovirus infection,human cytomegalovirus infection
http://purl.obolibrary.org/obo/DOID_1222,1,disease/cartilage disease,cartilage disease
http://purl.obolibrary.org/obo/DOID_10481,1,disease/diaphragm disease,diaphragm disease
http://purl.obolibrary.org/obo/DOID_61,1,disease/mitral valve disease,mitral valve disease
http://purl.obolibrary.org/obo/DOID_612,1,disease/primary immunodeficiency disease,primary immunodeficiency disease
http://purl.obolibrary.org/obo/DOID_2519,1,disease/testicular disease,testicular disease
http://purl.obolibrary.org/obo/DOID_421,1,disease/hair disease,hair disease
http://purl.obolibrary.org/obo/DOID_9561,1,disease/nasopharyngeal disease,nasopharyngeal disease
http://purl.obolibrary.org/obo/DOID_5782,1,disease/tympanic membrane disease,tympanic membrane disease
http://purl.obolibrary.org/obo/DOID_1529,1,disease/penile disease,penile disease
http://purl.obolibrary.org/obo/DOID_2529,1,disease/splenic disease,splenic disease
http://purl.obolibrary.org/obo/DOID_4138,1,disease/bile duct disease,bile duct disease
http://purl.obolibrary.org/obo/DOID_75,1,disease/lymphatic system disease,lymphatic system disease
http://purl.obolibrary.org/obo/DOID_5353,1,disease/colonic disease,colonic disease
http://purl.obolibrary.org/obo/DOID_74,1,disease/hematopoietic system disease,hematopoietic system disease
http://purl.obolibrary.org/obo/DOID_10124,1,disease/corneal disease,corneal disease
http://purl.obolibrary.org/obo/DOID_3463,1,disease/breast disease,breast disease
http://purl.obolibrary.org/obo/DOID_0070620,1,disease/ring chromosome syndrome,ring chromosome syndrome
http://purl.obolibrary.org/obo/DOID_26,1,disease/pancreas disease,pancreas disease
http://purl.obolibrary.org/obo/DOID_0080000,1,disease/muscular disease,muscular disease
http://purl.obolibrary.org/obo/DOID_0080009,1,disease/X-linked dominant disease,X-linked dominant disease
http://purl.obolibrary.org/obo/DOID_0080001,1,disease/bone disease,bone disease
http://purl.obolibrary.org/obo/DOID_240,1,disease/iris disease,iris disease
http://purl.obolibrary.org/obo/DOID_4961,1,disease/bone marrow disease,bone marrow disease
http://purl.obolibrary.org/obo/DOID_9720,1,disease/vitreous disease,vitreous disease
http://purl.obolibrary.org/obo/DOID_2163,1,disease/nasal cavity disease,nasal cavity disease
http://purl.obolibrary.org/obo/DOID_9741,1,disease/biliary tract disease,biliary tract disease
http://purl.obolibrary.org/obo/DOID_1091,1,disease/tooth disease,tooth disease
